Gene_ID	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Lung_1	Lung_2	Lung_3	Lung_4	Lung_5	Lung_6	Lung_7	Lung_8	Lung_9
ENSG00000000003	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	2
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	0	75	0	17	139	0	100	94	190	24	26	156	20	3	17	0	24	14
ENSG00000000457	17	23	0	0	0	52	17	0	12	0	6	0	6	0	3	0	3	11
ENSG00000000460	4	6	4	10	1	25	21	0	27	6	7	0	17	0	22	11	15	21
ENSG00000000938	196	32	36	94	319	123	132	72	337	10	49	0	44	1	8	31	33	35
ENSG00000000971	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001036	109	109	109	68	103	148	124	68	126	20	31	53	28	24	53	18	11	34
ENSG00000001084	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	0
ENSG00000001167	0	0	0	0	1	29	0	0	7	7	3	0	6	0	0	0	1	3
ENSG00000001460	0	0	0	26	0	34	1	0	1	1	5	0	6	0	0	5	0	0
ENSG00000001461	47	7	59	31	39	47	66	66	65	24	73	0	65	5	21	19	49	43
ENSG00000001497	0	1	0	7	0	21	11	25	93	0	3	48	10	9	0	0	0	10
ENSG00000001561	0	0	0	0	11	0	0	0	8	0	4	0	3	1	1	9	0	0
ENSG00000001617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	15	0	0	29	39	6	19	37	23	28	13	20	20	17	26	36	13	63
ENSG00000001630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001631	32	25	41	7	0	77	79	0	59	23	11	0	19	24	39	43	11	42
ENSG00000002016	0	0	0	0	8	0	3	0	6	0	1	0	0	0	0	0	0	1
ENSG00000002079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	50	23	36	10	23	93	88	53	51	5	16	19	21	5	22	13	2	15
ENSG00000002549	0	73	21	120	102	142	119	1	190	64	68	0	44	2	46	14	28	64
ENSG00000002586	11325	7007	8918	6192	8815	8280	6245	5425	13850	4357	5388	3898	4854	1968	4459	2317	2546	3908
ENSG00000002587	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	15	49	39	0	48	7	94	0	89	1	10	0	4	0	0	0	3	11
ENSG00000002834	3	7	0	17	11	22	18	16	16	23	29	0	13	1	13	14	13	20
ENSG00000002919	0	0	4	0	42	0	54	25	4	9	9	60	7	13	6	0	4	5
ENSG00000002933	0	0	0	1	39	0	0	0	56	0	0	0	1	0	0	0	2	0
ENSG00000003056	103	13	76	53	142	241	123	111	307	52	159	0	124	37	113	56	51	97
ENSG00000003096	0	6	0	0	0	0	0	0	1	0	5	0	3	0	3	0	3	0
ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	0	0	0	0	6	0	1	3	1	8	9	0	3	2	2	17	1	20
ENSG00000003249	0	0	1	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0
ENSG00000003393	0	0	0	0	0	0	0	0	1	6	4	0	10	0	0	1	4	0
ENSG00000003400	0	0	0	0	15	1	5	3	1	3	2	0	2	0	1	0	0	1
ENSG00000003402	112	75	49	65	133	160	143	80	185	153	213	3	187	84	167	76	89	137
ENSG00000003436	692	629	742	398	1219	1350	1014	1089	652	488	659	431	947	306	571	676	463	769
ENSG00000003509	0	0	0	0	0	0	0	0	39	4	0	0	1	0	0	0	3	0
ENSG00000003756	10	0	16	15	189	1	3	19	96	14	17	0	50	7	10	19	25	8
ENSG00000003987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004059	518	619	475	435	584	927	1044	915	960	95	389	187	217	99	256	130	80	216
ENSG00000004139	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0
ENSG00000004142	0	54	0	0	0	40	75	40	83	2	2	134	3	0	8	1	1	0
ENSG00000004399	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0
ENSG00000004455	16	39	65	10	95	42	29	77	91	21	7	0	12	0	4	18	10	14
ENSG00000004468	0	31	0	0	0	38	0	0	1	4	7	0	0	0	0	0	4	7
ENSG00000004478	17	0	4	0	0	0	0	17	46	0	3	0	0	0	0	0	0	0
ENSG00000004487	0	9	1	1	2	27	2	1	20	6	4	0	15	28	1	13	8	25
ENSG00000004534	0	0	0	0	91	6	50	16	49	47	78	119	26	27	21	30	22	50
ENSG00000004660	0	0	0	0	0	1	0	0	0	0	5	0	0	0	1	6	1	0
ENSG00000004700	77	60	21	38	31	72	77	63	134	21	64	0	60	0	49	24	32	62
ENSG00000004766	0	0	0	0	12	16	21	23	39	0	1	0	1	15	1	1	6	5
ENSG00000004776	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1
ENSG00000004777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004779	54	35	38	47	258	121	102	61	99	5	23	51	17	7	6	25	16	18
ENSG00000004799	0	0	0	0	35	0	0	0	0	3	3	20	0	0	0	0	0	4
ENSG00000004809	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000004838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004846	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000004864	0	0	1	0	5	0	0	0	15	0	5	0	4	0	4	0	4	2
ENSG00000004866	469	263	369	117	196	313	193	81	332	166	182	38	142	140	118	276	133	199
ENSG00000004897	371	177	270	277	263	161	198	312	251	150	254	67	128	170	158	165	113	287
ENSG00000004939	0	0	0	0	7	0	0	0	1	0	42	0	18	0	0	0	0	0
ENSG00000004948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	10	0	10	15	5	53	7	11	47	0	8	0	12	0	9	0	4	5
ENSG00000004975	0	0	0	0	0	0	0	1	1	0	8	0	0	0	2	0	0	0
ENSG00000005001	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000005007	1	26	0	1	2	1	3	1	0	0	5	0	3	8	0	0	3	5
ENSG00000005020	4348	2988	2812	2037	3642	4668	3759	2947	3963	1660	2221	3133	1954	1040	1770	2170	972	2616
ENSG00000005022	127	86	110	67	207	172	151	135	408	46	66	88	105	31	37	47	40	90
ENSG00000005059	0	7	13	0	19	97	8	48	110	8	0	23	9	0	0	0	9	1
ENSG00000005073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075	16	22	13	17	113	61	30	30	68	26	32	0	34	18	31	14	11	29
ENSG00000005100	0	0	0	0	0	0	0	0	0	0	2	0	5	10	0	0	1	1
