Gene_ID	Box2_F4_ND_3h_AF	Box2_F7_ND_3h_AF	Box2_G1_ND_3h_AF	Box2_G4_ND_3h_AF	Box3_A3_ND_3h_AF	Box3_A4_ND_3h_AF	Box3_A5_ND_3h_AF	Box3_C2_ND_3h_YF	Box3_E4_ND_3h_YM	Box3_E6_ND_3h_YF	Box4_A4_ND_3h_YF	Box4_A5_ND_3h_YF	Box4_C3_ND_3h_YF	Box2_F3_ND_24h_AF	Box2_G2_ND_24h_AF	Box2_G3_ND_24h_AF	Box2_G5_ND_24h_AF	Box2_G6_ND_24h_AF	Box2_G7_ND_24h_AF	Box3_A2_ND_24h_AF	Box3_F1_ND_24h_YM	Box4_A3_ND_24h_AM	Box4_C1_ND_24h_AM
ENSMUSG00000000001	216	158	234	74	6	5	22	6	11	31	71	140	14	44	134	14	23	18	1	3	5	32	7
ENSMUSG00000000028	4	3	6	2	0	0	0	0	0	2	2	8	1	0	3	0	0	0	0	1	0	3	0
ENSMUSG00000000031	1	0	0	0	0	0	0	0	0	1	0	2	0	1	4	0	0	0	0	0	0	0	0
ENSMUSG00000000049	4	1	2	0	0	1	3	0	2	0	2	7	2	4	0	0	0	1	0	1	0	2	3
ENSMUSG00000000056	144	82	120	82	18	2	12	3	20	40	54	80	42	42	18	6	19	83	4	16	31	48	25
ENSMUSG00000000058	2	2	2	1	0	2	3	0	2	0	2	1	0	3	6	0	1	2	1	0	1	2	0
ENSMUSG00000000078	290	204	279	111	10	5	38	10	41	62	166	276	71	49	292	17	29	22	5	10	26	125	79
ENSMUSG00000000085	16	11	16	5	0	0	2	0	6	2	11	21	10	7	21	1	8	1	1	0	5	12	2
ENSMUSG00000000088	331	224	246	227	46	93.99	398	44.99	117	182	488	829.97	249.99	173	267	29	172	90	7	21	99	336	171
ENSMUSG00000000093	1	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	1	1	0	0	0	0	1
ENSMUSG00000000120	3	3	2	1	0	0	0	1	0	1	3	3	2	1	1	1	2	0	0	0	0	0	0
ENSMUSG00000000127	8	10	7	10	0	2	13	1	2	5	5	17	5	13	4	4	10	3	0	4	4	11	9
ENSMUSG00000000131	163	114	243	61	0	0	6	3	34	42	89	121	35	40	96	5	11	10	2	6	25	83	21
ENSMUSG00000000134	69	64	118	34	2	1	3	3	28	38	65	112	44	42	69	6	13	39	2	4	24	90	30
ENSMUSG00000000142	3	2	6	4	0	0	0	1	0	1	5	6	1	3	1	1	0	1	0	0	0	0	0
ENSMUSG00000000148	31	18	26	12	0	1	1	2	11	13	21	37	10	9	3	2	3	1	0	0	1	14	1
ENSMUSG00000000149	55	27	43	31	0	2	1	1	12	13	36	63.85	17	31	45.82	7	25	11	0	0	13	55	16
ENSMUSG00000000154	1	1	1	0	0	0	0	0	1	1	0	3	2	2	3	0	1	0	0	0	1	1	0
ENSMUSG00000000157	34	36	87	2	0	0	0	0	15	26	45	63	11	3	31	4	6	4	1	1	16	48	13
ENSMUSG00000000168	18	11	11	19	3	0	8	3	2	7	9	38	12	8	16	0	1	2	0	0	2	5	2
ENSMUSG00000000171	69	46	79	32	3	6	24	7	14	31	67	94	47	24	73	4	15	17	1	1	13	26	5
ENSMUSG00000000184	59	47	48	35	3	1	3	2	25	19	49	90	16	17	22	1	4	14	1	3	9	27	15
ENSMUSG00000000194	73	42	79.69	18	0	1	2.01	2	19.02	24	39	84.44	30	23	14	5	16	11	0	5	16	43.04	24
ENSMUSG00000000204	473	339	256	20	3	2	17	5	0	21	76	191.01	10	31	184	14	77	38	4	14	3	24	6
ENSMUSG00000000223	1	1	1	2	0	0	0	0	4	1	3	6	3	1	2	1	0	0	0	0	1	0	0
ENSMUSG00000000244	34	28	37	43	7	0	19	13	19	30	46	91	19	30	7	3	20	24	1	0	15	40	20
ENSMUSG00000000253	147	124	102	124	7	12	53	22	109	94	184	295	79	62	89	12	50	33	8	10	121	196	111
ENSMUSG00000000266	2	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	2	0	0	0	0	0
ENSMUSG00000000275	181	135	154	69	1	2	12	10	25	52	108	194	53	52	240	7	25	17	4	20	17	52	28
ENSMUSG00000000276	7	6	5	6	1	0	0	1	0	4	3	8	3	3	15	1	2	1	0	0	1	1	1
ENSMUSG00000000278	63	66	67	55	6	1	2	6	24	36	74	114	28	21	59	2	9	8	0	4	11	22	13
ENSMUSG00000000282	31	34	52	34	1	1	1	4	5	14	27	41	18	20	38	2	1	4	0	1	8	21	2
ENSMUSG00000000290	1157	891	1446	697	13	7	66	39	369	466	792	1246	355	570	661	88	215	134	15	100	475	1206	382
ENSMUSG00000000295	6	5	8	5	3	1	7	1	2	5	12	15	11	3	6	0	5	4	0	0	1	1	1
ENSMUSG00000000301	0	0	1	0	0	0	1	1	1	0	1	2	1	0	0	0	1	1	0	0	1	0	2
