id	ER-NOD-ERR1084805	ER-NOD-ERR1084806	ER-ATH-ERR1084764	ER-ATH-ERR1084765	TN-NOD-ERR1084798	TN-NOD-ERR1084799	TN-ATH-ERR1084768	TN-ATH-ERR1084766
Group	ER	ER	ER	ER	TN	TN	TN	TN
ENSG00000001630	0	0	0	0	0	0	0	0
ENSG00000001631	0	0	0	3.49	0	0	0	0
ENSG00000002834	7623.8	21838.54	15294.91	15162.4	11618.28	8157.23	794.82	4810.38
ENSG00000003402	0	0	0	0.54	1.23	0.26	0.43	0
ENSG00000003436	0.53	0	0	0	1.61	0.5	0	0
ENSG00000003509	0	0	0	0	0	0	0	0
ENSG00000004961	1070.11	359.43	1228.04	1503.32	275	2132.93	490.36	2176.57
ENSG00000005073	4.09	0	0	0	5.74	11.67	1354.5	607.17
ENSG00000005102	2.05	0	0	0	12.26	115.58	1.91	96.94
ENSG00000005339	0	0	0	0	0	0	0	0
ENSG00000005421	6.7	147.23	0	0	8.89	0	20.83	56.61
ENSG00000005801	0	0	0	0	0	0	0	0
ENSG00000005884	0	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0
ENSG00000006016	0	0	0	0	0	0	11.8	0
ENSG00000006468	18.15	26.71	28.05	58.71	9.51	1.15	87.39	104.5
ENSG00000006555	0	0	0	0	0	1.2	0	0
ENSG00000006607	0	0	0	2.51	0	0	0	1.26
ENSG00000006634	1201.42	1226.83	699.38	934.83	1091.54	1383.73	1241.48	4363.03
ENSG00000006638	2.45	2.29	0	0	0	0	0	0
ENSG00000006756	4.32	0	11.7	4.21	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	1.9
ENSG00000007908	0	0	0	11.7	8.64	11.37	11.19	45.74
ENSG00000008056	0	1.25	0	0	0	0	0	0
ENSG00000008283	0	0	2.55	0	0	0	0	0
ENSG00000008838	0	0	0	0	0	0	0	0
ENSG00000008988	0	2.27	0	0	0	0	0	8.18
ENSG00000009335	0	0	0	0	0	0	0	0
ENSG00000009413	6.85	3.24	0	0	13.02	1.63	7.76	7.94
ENSG00000009765	4.03	0	0	0	0	0	0	0
ENSG00000009950	2.25	0	0	0	0	2.19	0	0
ENSG00000010404	1.07	0	0.96	0	1.22	0	0	0.5
ENSG00000010610	88.36	2.54	40.82	93.72	65.7	114.42	136.89	3390.36
ENSG00000011132	0	0	0	0	0	0	0	0
ENSG00000011243	0	0	0	0	0	0	0	6.01
ENSG00000011275	0	0	9.88	0	0	0	0	0
ENSG00000011295	0	0	0	0	0	0	0	0
ENSG00000011454	0	0	0	0	0	0	0	0
ENSG00000011478	0	2.29	0	0	0	0	2.28	0
ENSG00000011638	3.05	0	0	0	0	0	0	0
ENSG00000012232	0	0	0	0	0	0	0	0
ENSG00000012779	523.8	0	0	3.9	43.36	125.38	50.2	163.64
ENSG00000013306	0	0	0	0	0	0	0	0
ENSG00000013364	0	0	0	0	0	0	3.89	0
ENSG00000014138	0	1.04	2.02	4.35	0.85	0	0	0
ENSG00000015479	0	0	0	0	0	0	0	0
ENSG00000016082	0	0	0	0	0	0	28.49	145.8
ENSG00000018610	0	0	0	0	0	0	0	0
ENSG00000019144	0	0	0	0	0	0	3.12	0
ENSG00000021355	0	0	0	0	0	0	1.22	0
ENSG00000022267	0	0	0	0	35.16	51.83	0	412.04
ENSG00000022840	0	5.09	0	0	0	0	0	0
ENSG00000022976	0	1.92	0	0	0	0	0	0
ENSG00000026751	0	0	0	0	0	0	0	1.7
ENSG00000028203	1.65	0	0	0	0	0	0	0
ENSG00000033170	0	0	0	26.28	0	0	0	0
